index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo,RegionGo2,Similarity_LAG1
5183,947-704,24,947-704PL1,Absent,19661,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,11,23,22,34,43,52,0,24,10,12,20,42,44,53,0,2,9,13,41,35,45,54,0,3,25,26,19,36,51,55,0,27,8,14,33,40,46,56,0,4,31,15,18,37,47,57,0,5,29,30,32,38,49,58,0,6,7,16,17,39,50,0,0,4,28,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,5183,0,16.557488653555218,16.557488653555218,72,0.825,55,0.7096774193548387,62,0.3250620347394541,0.53125,0.859375,0.85,0.5172413793103449,0.10652709359605916,24.0,RS,RS,0.796875
5184,947-704,25,947-704PL1,Absent,21499,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,10,29,30,40,0,0,0,8,11,28,31,41,49,50,0,9,12,21,32,42,0,0,0,3,19,22,33,43,0,0,0,7,14,27,35,44,0,0,0,4,18,23,39,45,0,0,0,5,15,24,36,46,0,0,0,6,17,26,38,48,0,0,0,14,18,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,5184,0,16.557488653555218,16.557488653555218,86,0.8875,42,0.7636363636363637,64,0.3485420240137221,0.71875,0.7619047619047619,0.825,0.7096774193548387,0.3250620347394541,28.0,RS,ALL,0.859375
5185,947-704,26,947-704PL1,Absent,20727,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,19,9,20,29,0,0,38,0,8,10,21,30,0,0,39,0,18,16,22,31,0,0,0,0,2,17,23,37,45,0,40,0,3,12,24,32,0,0,41,0,7,13,25,36,0,44,0,0,4,15,26,34,0,0,42,0,6,14,28,35,0,0,43,0,14,18,Unicorn_Absent,-1,-1,Unicorn_Present,RS,5185,0,16.557488653555218,-5.666666666666668,100,0.8875,40,0.7083333333333334,60,0.012681159420289913,0.65625,0.8,0.8875,0.7636363636363637,0.3485420240137221,18.0,ALL,ALL,0.7619047619047619
5189,947-704,30,947-704PL1,Absent,25529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,23,25,31,38,39,46,12,10,22,27,32,37,40,45,2,9,21,28,33,36,42,44,13,8,20,29,34,35,41,43,3,15,19,30,47,48,55,62,14,7,18,63,49,50,56,61,4,6,24,64,51,52,57,60,5,16,17,65,53,54,58,59,9,23,Unicorn_Absent,-1,-1,Unicorn_Absent,ALL,5189,0,16.557488653555218,16.557488653555218,109,0.85625,64,0.625,64,0.20639534883720928,0.640625,1.0,0.8875,0.7083333333333334,0.012681159420289913,18.0,ALL,ALL,0.8
5190,947-704,31,947-704PL1,Absent,20822,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,20,29,38,49,72,73,2,17,21,30,39,50,71,70,3,15,22,31,41,51,68,69,4,14,23,32,42,52,67,66,6,13,24,33,43,53,74,65,7,19,25,34,45,54,63,62,8,12,26,36,46,55,59,60,9,10,28,37,48,57,58,61,16,16,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,5190,0,16.557488653555218,28.5,125,0.9,64,1.0,64,0.8181818181818181,0.75,1.0,0.85625,0.625,0.20639534883720928,23.0,ALL,RS,1.0
5193,947-704,34,947-704PL1,Absent,22055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,26,13,33,34,60,61,24,11,25,27,36,35,59,62,2,23,22,28,37,38,58,63,3,10,14,29,39,40,57,64,19,9,21,20,41,42,55,56,4,8,15,31,43,44,54,53,5,18,16,30,45,46,50,51,6,7,17,32,47,48,49,52,8,24,Unicorn_Absent,-1,-1,Unicorn_Present,ALL,5193,0,16.557488653555218,27.0,133,0.85,64,1.0,64,0.8235294117647058,0.625,1.0,0.9,1.0,0.8181818181818181,16.0,RS,RS,1.0
5196,947-704,37,947-704PL1,Absent,20508,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,11,26,27,40,43,0,0,2,12,25,28,41,44,0,0,3,13,24,34,35,45,0,0,4,14,23,33,36,46,0,0,9,15,22,29,37,47,0,0,10,16,21,30,38,48,0,0,7,17,20,31,39,49,0,0,8,18,19,32,42,0,0,0,15,17,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,5196,0,16.557488653555218,16.557488653555218,148,0.89375,47,0.734375,63,0.5216090425531915,0.71875,0.734375,0.85,1.0,0.8235294117647058,24.0,RS,RS,1.0
5197,947-704,38,947-704PL1,Absent,21123,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,12,23,40,52,53,0,0,11,13,25,39,44,0,0,0,8,14,26,38,45,0,0,0,10,16,27,36,46,0,54,0,4,18,28,41,47,0,0,0,9,19,29,35,49,0,0,0,6,21,30,34,50,0,0,0,7,22,32,42,51,0,0,55,20,12,Unicorn_Absent,-1,-1,Unicorn_Present,RS,5197,0,16.557488653555218,32.0,168,0.925,43,0.8367346938775511,62,0.3483626008542953,0.78125,0.7441860465116279,0.89375,0.734375,0.5216090425531915,17.0,RS,RS,0.734375
5199,947-704,40,947-704PL1,Absent,16232,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,20,30,31,50,51,0,0,2,12,21,32,49,52,0,0,3,19,23,34,48,53,0,0,5,13,29,35,47,0,0,0,10,15,24,37,46,0,0,0,7,16,25,39,45,0,0,0,8,17,27,40,44,0,0,0,9,18,28,42,43,0,0,0,26,6,Unicorn_Absent,-1,-1,Unicorn_Present,RS,5199,0,16.557488653555218,30.5,194,0.9625,43,0.9111111111111112,64,0.20522875816993455,0.90625,0.7441860465116279,0.925,0.8367346938775511,0.3483626008542953,12.0,RS,RS,0.7441860465116279
5202,947-704,43,947-704PL1,Absent,19829,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,10,20,29,0,0,0,0,2,11,22,30,0,0,0,0,3,12,23,31,0,0,38,0,4,13,24,0,0,0,37,0,5,14,25,32,0,0,36,0,6,16,26,0,0,0,35,0,7,17,27,0,0,0,34,0,9,19,28,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,5202,0,16.557488653555218,16.557488653555218,216,0.9375,33,0.5833333333333334,63,0.011904761904761862,0.828125,0.7567567567567568,0.9625,0.9111111111111112,0.20522875816993455,6.0,RS,LEFT,0.7441860465116279
5203,947-704,44,947-704PL1,Absent,16758,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,17,27,1,8,37,0,0,0,18,28,36,9,38,0,0,0,19,29,2,10,39,0,0,0,21,31,3,11,40,0,0,0,22,32,4,12,41,0,0,0,24,33,5,14,42,0,0,0,25,34,6,15,43,0,0,0,26,35,7,16,44,0,0,0,27,5,Unicorn_Absent,-1,-1,Unicorn_Present,RS,5203,0,16.557488653555218,28.5,243,0.96875,40,0.6222222222222222,64,0.020634920634920676,0.921875,0.8,0.9375,0.5833333333333334,0.011904761904761862,10.0,LEFT,LEFT,0.7567567567567568
5206,947-704,47,947-704PL1,Absent,20122,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,9,17,25,0,0,0,0,39,10,18,26,0,0,0,0,3,38,19,27,0,0,0,0,37,11,20,28,0,0,0,0,4,13,21,30,0,0,0,0,5,35,22,34,0,0,0,0,6,14,23,33,0,0,0,0,8,16,24,36,0,0,0,0,29,3,Unicorn_Absent,-1,-1,Unicorn_Present,LEFT,5206,0,16.557488653555218,30.0,272,0.98125,32,0.8,64,0.022222222222222254,0.953125,1.0,0.96875,0.6222222222222222,0.020634920634920676,5.0,LEFT,LEFT,0.8
5208,947-704,49,947-704PL1,Absent,16575,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,35,34,8,1,0,0,0,0,32,33,23,24,0,0,0,0,31,30,25,2,0,0,0,0,28,29,22,3,0,0,0,0,27,26,11,4,0,0,0,0,20,19,21,5,0,0,0,0,17,18,12,6,0,0,0,0,16,15,14,7,0,0,0,0,30,2,Unicorn_Absent,-1,-1,Unicorn_Absent,LEFT,5208,0,16.557488653555218,16.557488653555218,302,0.9875,32,1.0,64,0.08333333333333337,0.96875,1.0,0.98125,0.8,0.022222222222222254,3.0,LEFT,LEFT,1.0
5209,947-704,50,947-704PL1,Absent,16918,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,33,22,1,0,0,0,0,31,24,21,23,0,0,0,0,30,25,20,2,0,0,0,0,29,26,19,3,0,0,0,0,28,27,18,4,0,0,0,0,15,16,14,17,0,0,0,0,11,12,13,6,0,0,0,0,10,9,8,7,0,0,0,0,30,2,Unicorn_Absent,-1,-1,Unicorn_Present,LEFT,5209,0,16.557488653555218,32.0,332,0.9875,32,1.0,64,0.0,0.96875,1.0,0.9875,1.0,0.08333333333333337,2.0,LEFT,LEFT,1.0
5211,947-704,52,947-704PL1,Absent,16783,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,34,18,17,1,0,0,0,0,32,33,16,2,0,0,0,0,31,19,15,3,0,0,0,0,30,20,14,4,0,0,0,0,28,29,13,5,0,0,0,0,27,21,12,6,0,0,0,0,26,23,11,9,0,0,0,0,25,24,10,8,0,0,0,0,32,0,Unicorn_Absent,-1,-1,Unicorn_Absent,LEFT,5211,0,16.557488653555218,16.557488653555218,364,1.0,32,1.0,64,0.058823529411764726,1.0,1.0,0.9875,1.0,0.0,2.0,LEFT,LEFT,1.0
5212,947-704,53,947-704PL1,Absent,16623,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,33,34,10,1,0,0,0,0,31,32,11,2,0,0,0,0,29,30,12,36,0,0,0,0,28,27,35,4,0,0,0,0,25,26,14,5,0,0,0,0,24,20,15,6,0,0,0,0,23,21,16,7,0,0,0,0,22,19,18,9,0,0,0,0,-16,0,Unicorn_Absent,-1,-1,Unicorn_Present,LEFT,5212,0,16.557488653555218,-16.0,348,0.7,32,1.0,64,0.0,1.0,1.0,1.0,1.0,0.058823529411764726,0.0,LEFT,LEFT,1.0
5215,947-704,56,947-704PL1,Absent,15915,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,36,35,37,1,0,0,0,0,33,34,12,2,0,0,0,0,38,31,13,3,0,0,0,0,28,30,15,5,0,0,0,0,29,27,17,6,0,0,0,0,24,25,26,7,0,0,0,0,22,23,18,8,0,0,0,0,21,20,19,10,0,0,0,0,32,0,Unicorn_Absent,-1,-1,Unicorn_Absent,LEFT,5215,0,16.557488653555218,16.557488653555218,380,1.0,32,1.0,64,0.0,1.0,1.0,0.7,1.0,0.0,0.0,LEFT,,1.0
5216,947-704,57,947-704PL1,Absent,15317,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,28,27,12,2,0,0,0,0,29,26,13,3,0,0,0,0,30,32,31,11,0,0,0,0,33,24,15,5,0,0,0,0,34,23,16,6,0,0,0,0,36,22,17,7,0,0,0,0,37,21,18,8,0,0,0,0,39,20,19,10,0,0,0,0,32,0,Unicorn_Absent,-1,-1,Unicorn_Present,LEFT,5216,0,16.557488653555218,32.0,412,1.0,32,1.0,64,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,1.0
